trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
131,False,"{'a': 0.01, 'e': 0.2481754516523729}",25,19,13.599519228419185,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
132,False,"{'a': 0.01, 'e': 0.23847605343372313}",20,10,0.24179545805461244,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
133,False,"{'a': 0.01, 'e': 0.22875280780845939}",20,9,9.564437834197857,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
134,False,"{'a': 0.01, 'e': 0.2190066870930415}",20,12,15.195222676275261,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
135,False,"{'a': 0.01, 'e': 0.20923866589141926}",20,0,-15.35050628529206,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
136,False,"{'a': 0.01, 'e': 0.19944972099757285}",30,10,24.489668072855075,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",1
137,False,"{'a': 0.01, 'e': 0.18964083129783424}",30,20,-1.792811760432337,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
138,False,"{'a': 0.01, 'e': 0.17981297767299936}",25,15,18.178619475326414,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
139,False,"{'a': 0.01, 'e': 0.16996714290024081}",30,20,15.783942916030304,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
140,False,"{'a': 0.01, 'e': 0.16010431155483126}",20,11,4.690484230232875,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
141,False,"{'a': 0.01, 'e': 0.15022546991168584}",20,9,18.520007485724182,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
142,False,"{'a': 0.01, 'e': 0.14033160584673673}",20,10,19.70800861523809,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
143,False,"{'a': 0.01, 'e': 0.13042370873814554}",25,16,13.490849714838236,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
144,False,"{'a': 0.01, 'e': 0.12050276936736662}",25,9,9.50347908265871,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 0}",1
145,False,"{'a': 0.01, 'e': 0.11056977982006959}",25,16,13.68576775590473,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
146,False,"{'a': 0.01, 'e': 0.10062573338693173}",20,15,9.101225756005379,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
147,False,"{'a': 0.01, 'e': 0.09067162446430968}",25,20,10.781803441247298,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
148,False,"{'a': 0.01, 'e': 0.08070844845480063}",20,9,21.475744576185775,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
149,False,"{'a': 0.01, 'e': 0.0707372016677029}",30,20,9.300685429883622,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
150,False,"{'a': 0.01, 'e': 0.0607588812193859}",30,17,23.290583597476143,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
151,False,"{'a': 0.01, 'e': 0.05077448493357918}",20,14,13.134614572672744,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
152,False,"{'a': 0.01, 'e': 0.040785011241591035}",25,7,29.850549514347392,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
153,False,"{'a': 0.01, 'e': 0.03079145908246612}",20,15,7.894499437543316,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
154,False,"{'a': 0.01, 'e': 0.020794827803092428}",30,18,21.286898813725266,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
155,False,"{'a': 0.01, 'e': 0.010796117058267392}",20,10,17.741891835196707,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
156,False,"{'a': 0.01, 'e': 0.0007963267107332633}",30,22,13.672033018356073,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0.0, 'e': 0.0}",25,12,28.396146043676822,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0.0, 'e': 0.0}",30,16,28.81088712693111,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0.0, 'e': 0.0}",30,20,19.560883067792734,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0.0, 'e': 0.0}",25,20,9.478499503565493,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0.0, 'e': 0.0}",25,15,20.261120362672663,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0.0, 'e': 0.0}",25,16,17.660186626003348,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0.0, 'e': 0.0}",20,11,18.91953163838226,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0.0, 'e': 0.0}",25,13,16.711713486815395,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0.0, 'e': 0.0}",30,17,24.510864998857755,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0.0, 'e': 0.0}",25,15,18.568396805045587,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
